Rank	Score	Penalty	Country	Name
1339	29	-3776191624	South Korea	SongC
1367	29	-3864848862	South Korea	subeom
1402	29	-3962534805	South Korea	depthfirst
1414	29	-3988518184	South Korea	pythonlover12345
1472	29	-4143654295	South Korea	sjKang
1483	29	-4219749223	South Korea	JongMan
1486	29	-4237493113	South Korea	Alinfty
1515	29	-4496108669	South Korea	soodo
1516	29	-4513837047	South Korea	most323
1517	29	-4536725172	South Korea	ijna
1532	29	-4797552335	South Korea	koosaga
1563	16	-3767932261	South Korea	Einstrasse
1605	13	-1147294547	South Korea	Dogdriip
1790	13	-2225637633	South Korea	hayman42
1835	13	-2417656933	South Korea	gosookyunggo
1888	13	-2605461729	South Korea	0xF4D3C0D3
1920	13	-2718486903	South Korea	surverrepairman
1947	13	-2833470627	South Korea	yuseok89
1951	13	-2841481350	South Korea	RubyFruit
1960	13	-2868147089	South Korea	tonykim
2016	13	-3067517488	South Korea	HochanFS
2018	13	-3071480178	South Korea	ekal
2107	13	-3362592833	South Korea	Ydh
2116	13	-3373854485	South Korea	CharlieKim
2195	13	-3606943034	South Korea	ik_e
2212	13	-3638488419	South Korea	jeehye
2278	13	-3815950318	South Korea	Evaporation
2322	13	-3939941307	South Korea	chocobear
2399	13	-4136717937	South Korea	beginnerHeo
2435	13	-4358928135	South Korea	juseong
2437	13	-4407246608	South Korea	bsyun0571
2510	5	-1843383463	South Korea	dlwocks31
2527	5	-2100647219	South Korea	dawoon.choi
2579	5	-2468034528	South Korea	포도빛향기에
2591	5	-2536020304	South Korea	chucky6413
2637	5	-2882450166	South Korea	baver
2692	5	-3115680803	South Korea	Andrewjjj
2721	5	-3236095569	South Korea	ekwoo
2736	5	-3291349794	South Korea	seoburo
2758	5	-3384685162	South Korea	BayMinimum
2817	5	-3577254465	South Korea	njw1204
2838	5	-3694348086	South Korea	phg0804
2875	5	-3824557256	South Korea	leejseo
2876	5	-3827300685	South Korea	SeoungJun
2965	5	-4064398646	South Korea	SeoungJin
2969	5	-4066169897	South Korea	zzal_U
2993	5	-4155849869	South Korea	pser
3002	5	-4295497205	South Korea	justkj7
3007	5	-4322428636	South Korea	hellogaon
3054	3	-1630615727	South Korea	singleheart
3058	3	-1812189627	South Korea	CharleSE
3126	0	0	South Korea	SLM
3126	0	0	South Korea	ZINC
3126	0	0	South Korea	iooqooo
3126	0	0	South Korea	jetoyrico
3126	0	0	South Korea	jsense
3126	0	0	South Korea	leesiwon
3126	0	0	South Korea	rhfktj
3126	0	0	South Korea	sunjuu
3144	0	0	South Korea	Angk
3144	0	0	South Korea	Bonibon
3144	0	0	South Korea	CheezeDonkatsu
3144	0	0	South Korea	CrazYoung
3144	0	0	South Korea	Freetime
3144	0	0	South Korea	GirinSSH
3144	0	0	South Korea	Gravekper
3144	0	0	South Korea	IKnoom
3144	0	0	South Korea	JKJeong
3144	0	0	South Korea	JWoong148
3144	0	0	South Korea	Kimcoding
3144	0	0	South Korea	Kvds
3144	0	0	South Korea	NeutrinoAnt
3144	0	0	South Korea	Nyan101
3144	0	0	South Korea	ParkJeonghyeon
3144	0	0	South Korea	SeongYunKim
3144	0	0	South Korea	SpringsVGC
3144	0	0	South Korea	ThankGod
3144	0	0	South Korea	UngDoo
3144	0	0	South Korea	Venusaur
3144	0	0	South Korea	_Rn
3144	0	0	South Korea	albus.star
3144	0	0	South Korea	antifly55
3144	0	0	South Korea	baby_strawberry
3144	0	0	South Korea	banje
3144	0	0	South Korea	bosslormak
3144	0	0	South Korea	deity
3144	0	0	South Korea	elin
3144	0	0	South Korea	enterkey
3144	0	0	South Korea	hon9
3144	0	0	South Korea	hyida
3144	0	0	South Korea	junho85
3144	0	0	South Korea	ke2ek
3144	0	0	South Korea	kim_young_hyun
3144	0	0	South Korea	kimjungwow
3144	0	0	South Korea	kyaryunha
