Rank	Score	Penalty	Country	Name
3374	40	-9008145088	Bangladesh	aviksaha.as8
3522	35	-6746096139	Bangladesh	neo11235
3573	35	-9158789681	Bangladesh	TripPple_A
3614	33	-6587408819	Bangladesh	i_love_nusrat
3652	33	-7456472683	Bangladesh	astthecoder
3658	33	-7729682392	Bangladesh	Muhimin_Osim
3682	33	-8175786950	Bangladesh	diponsaha007
3683	33	-8238131769	Bangladesh	sgtlaugh
3693	33	-8417235717	Bangladesh	Shajib_
3720	33	-8766248197	Bangladesh	Shahidul1004
3730	33	-8927747952	Bangladesh	Fiction
3735	33	-8950707255	Bangladesh	Tahsin_Protik
3831	31	-6562459656	Bangladesh	s_da_sailor
3836	31	-6750585351	Bangladesh	arnob918
3847	31	-7072291523	Bangladesh	moidda
3870	31	-7747785788	Bangladesh	aminul
3911	31	-8574607923	Bangladesh	Ahasan_Kabir
3951	31	-8975538181	Bangladesh	turab_
3977	31	-9418530095	Bangladesh	ZED_
4006	28	-1254886104	Bangladesh	FrozenBlood
4017	28	-1470957189	Bangladesh	irri
4040	28	-1912905345	Bangladesh	Sadman
4046	28	-2009282107	Bangladesh	inam
4051	28	-2073694051	Bangladesh	DrSwad
4064	28	-2183594783	Bangladesh	Tanzir33
4072	28	-2252682184	Bangladesh	sidky
4081	28	-2331584124	Bangladesh	tanu_70
4103	28	-2548722558	Bangladesh	fire_tornado
4139	28	-2811045205	Bangladesh	RHT_20
4154	28	-2936819140	Bangladesh	MujahidSwadhin
4163	28	-3004994589	Bangladesh	md.muidul.alam
4168	28	-3034502774	Bangladesh	Hasinur_
4197	28	-3156705260	Bangladesh	Mohaimin66
4224	28	-3328743467	Bangladesh	nightfury1204
4283	28	-3718935257	Bangladesh	mir003
4286	28	-3736097750	Bangladesh	DoubleO
4304	28	-3878774273	Bangladesh	juniloydatta
4306	28	-3881664031	Bangladesh	RezwanArefin01
4312	28	-3943638460	Bangladesh	Pretest
4325	28	-4023760722	Bangladesh	aymanrasheed7
4341	28	-4174461267	Bangladesh	nafiz6
4364	28	-4291785624	Bangladesh	Fahim.ahmed
4403	28	-4562088287	Bangladesh	moshiurhridoy
4450	28	-4871939704	Bangladesh	soul.departed
4474	28	-5060402011	Bangladesh	Nafis_Shahriar
4477	28	-5067884021	Bangladesh	msi1427
4528	28	-5403533095	Bangladesh	vector944
4564	28	-5674989146	Bangladesh	zunaedsifat
4575	28	-5776904360	Bangladesh	opangkteyo
4727	28	-7032848149	Bangladesh	yasir.nabil
4786	28	-7508565446	Bangladesh	_FIZZZ_
4796	28	-7556183558	Bangladesh	MhD88
4822	28	-7775090160	Bangladesh	Arpan268
4825	28	-7801816407	Bangladesh	Dhrubo52
4864	28	-8138256691	Bangladesh	thedragonslayer
4919	28	-8570897782	Bangladesh	Maruf_Robin
4924	28	-8609510169	Bangladesh	Shammo_esc
4926	28	-8624545008	Bangladesh	Subhashis_CSE
4961	28	-8803308331	Bangladesh	shakilaust
5145	24	-5664086223	Bangladesh	sakibreza
5201	24	-6681339262	Bangladesh	bu_hridoy
5246	24	-7178866320	Bangladesh	lelbaba
5291	24	-7678623276	Bangladesh	Mehedi_Hassan
5296	24	-7725880544	Bangladesh	salmandotexe
5306	24	-7816904700	Bangladesh	_Subrata
5326	24	-8028625190	Bangladesh	Olium_MdioxideN
5355	24	-8394740071	Bangladesh	Sayemm
5365	24	-8458921924	Bangladesh	zn_Sourav
5391	24	-8649822859	Bangladesh	Shajal525
5551	23	-8156256901	Bangladesh	mHr029
5694	19	-5644085737	Bangladesh	TheHalfBlo0dPrince
5827	19	-7349906811	Bangladesh	riz1ahmed
5888	19	-8073535319	Bangladesh	NewbieNoob
6099	14	-1934987507	Bangladesh	Tashfiq
6213	14	-4874039941	Bangladesh	Kawchar85
6282	14	-5799203706	Bangladesh	Raiyan1698
6292	14	-5958595746	Bangladesh	fuad036
6450	14	-7671366526	Bangladesh	emrul
6453	14	-7689641876	Bangladesh	ViRiON
6506	14	-8354724184	Bangladesh	SkArman
6710	13	-5101311846	Bangladesh	n00b_coder
6723	13	-5803170925	Bangladesh	Likhon5
